pubmed_tagcn_xgb,0.2212,0.431,0.5878,0.6669,0.7216,0.7624,0.8024,0.8343,0.8596,0.8833,0.9045,0.9249,0.942,0.9576,0.9722,0.978,0.9861,0.9918,0.9976,1.0
pubmed_tagcn_lgb,0.2163,0.4343,0.5918,0.6735,0.7339,0.7845,0.8204,0.8555,0.8833,0.9053,0.9347,0.9461,0.9559,0.9698,0.9763,0.9853,0.9902,0.9943,0.9976,1.0
pubmed_tagcn_rf,0.2269,0.4384,0.5886,0.6694,0.7371,0.7845,0.8286,0.8531,0.8873,0.9045,0.9257,0.9396,0.9527,0.9608,0.9673,0.9722,0.9845,0.9918,0.9943,1.0
pubmed_tagcn_lr,0.2155,0.4261,0.5788,0.6571,0.7094,0.7543,0.7927,0.8286,0.8539,0.8816,0.9053,0.9224,0.9363,0.9461,0.9559,0.9698,0.978,0.9878,0.9951,1.0
pubmed_tagcn_mutation,0.2,0.3739,0.4686,0.5249,0.5551,0.5951,0.6808,0.7282,0.7747,0.809,0.8351,0.8555,0.8751,0.8898,0.9069,0.9216,0.938,0.9469,0.9665,1.0
pubmed_tagcn_fusion,0.2196,0.44,0.5927,0.6743,0.7322,0.7853,0.8318,0.8629,0.8898,0.9143,0.938,0.9502,0.9592,0.9682,0.9788,0.9861,0.9878,0.9943,0.9992,1.0
pubmed_tagcn_margin,0.1249,0.2269,0.3249,0.4114,0.4963,0.5673,0.6212,0.6661,0.6971,0.7363,0.7763,0.8033,0.8278,0.849,0.8718,0.8939,0.9102,0.9396,0.9739,1.0
pubmed_tagcn_deepGini,0.1347,0.2171,0.2898,0.3592,0.4147,0.4727,0.52,0.5576,0.6041,0.6547,0.6914,0.7339,0.7731,0.8122,0.8473,0.8751,0.9118,0.9494,0.9788,1.0
pubmed_tagcn_leastConfidence,0.142,0.2351,0.3151,0.3894,0.4678,0.5363,0.5976,0.6531,0.6857,0.7371,0.7747,0.809,0.8302,0.8547,0.8776,0.9004,0.9192,0.9453,0.9812,1.0
pubmed_tagcn_random,0.0547,0.1012,0.1535,0.2041,0.2588,0.3135,0.3608,0.409,0.4653,0.511,0.5616,0.6033,0.6645,0.7118,0.7633,0.8098,0.8563,0.8988,0.9494,1.0
pubmed_tagcn_fusion_weight,0.2196,0.44,0.5927,0.6743,0.7322,0.7861,0.831,0.8629,0.889,0.9143,0.9371,0.951,0.9592,0.9682,0.9788,0.9861,0.9878,0.9943,0.9992,1.0
pubmed_tagcn_fusion_stacking,0.2073,0.409,0.5845,0.6514,0.7118,0.7404,0.7624,0.7796,0.7976,0.8147,0.831,0.8498,0.8686,0.8873,0.9037,0.9216,0.9314,0.9527,0.9755,1.0
pubmed_tagcn_fusion_voting,0.2106,0.4237,0.5943,0.6555,0.6743,0.7012,0.7265,0.7469,0.769,0.791,0.8073,0.8286,0.8482,0.871,0.8898,0.9094,0.929,0.9461,0.9706,1.0
